id,code,name,price,up_down_rate,up_down,up_rate,change_rate,quantity_rate,amplitude_rate,transaction,circulating,circulation_market,pe_ratio
182,2919,名臣健康,32.86,5.9,1.83,-0.09,1.97,2.59,8.61,1.41亿,2.20亿,72.26亿,36.63
183,301006,迈拓股份,19.14,5.86,1.06,0.05,6.04,0.9,7.91,7229.32万,6407.02万,12.26亿,20.33
184,301085,亚康股份,61.59,5.86,3.41,0.1,13.62,1.64,7.89,2.70亿,3260.85万,20.08亿,51.21
185,300213,佳讯飞鸿,7.05,5.86,0.39,-0.28,12.62,1.02,10.21,4.72亿,5.51亿,38.84亿,80.28
186,688323,瑞华泰,21.65,5.82,1.19,0.46,1.86,2.01,7.58,3863.06万,9773.40万,21.16亿,亏损
187,300971,博亚精工,27.19,5.8,1.49,0.11,23.81,1.16,7.28,3.48亿,5465.41万,14.86亿,36.25
188,688420,美腾科技,31.43,5.79,1.72,-0.1,3.69,2.11,6.09,2404.21万,2122.56万,6.67亿,45.95
189,300713,英可瑞,17.76,5.78,0.97,0.11,4.95,1.75,6.43,7473.67万,8662.54万,15.38亿,亏损
190,688041,海光信息,54.26,5.77,2.96,0.06,2.77,2.34,6.55,13.00亿,8.81亿,477.79亿,93.08
191,600498,烽火通信,20.09,5.74,1.09,0.05,3.32,2.29,7.58,7.41亿,11.32亿,227.33亿,59.68
192,300565,科信技术,14.94,5.73,0.81,0,3.95,1.93,6.51,1.09亿,1.88亿,28.13亿,亏损
193,300378,鼎捷软件,24.53,5.73,1.33,0.04,5.5,1.54,6.64,3.55亿,2.68亿,65.62亿,91.43
194,600353,旭光电子,8.14,5.71,0.44,-0.25,2.38,1.63,6.88,1.54亿,8.09亿,65.81亿,66.96
195,2236,大华股份,20.93,5.71,1.13,0.19,2.79,2.41,7.37,11.28亿,19.59亿,410.02亿,17.45
196,600864,哈投股份,6.13,5.69,0.33,0.16,5.17,2.03,6.38,6.50亿,20.81亿,127.54亿,59.58
197,600251,冠农股份,9.5,5.67,0.51,0,4.16,4.7,3.45,3.07亿,7.77亿,73.81亿,7.91
198,300515,三德科技,12.7,5.66,0.68,0.08,1.96,1.59,5.82,4455.30万,1.83亿,23.25亿,35.71
199,603985,恒润股份,26.53,5.66,1.42,0.04,4.85,1.96,9,5.61亿,4.41亿,116.96亿,105.73
200,2990,盛视科技,30.48,5.65,1.63,0.1,3.34,1.42,6.76,1.32亿,1.32亿,40.38亿,30.87
201,2555,三七互娱,21.72,5.64,1.16,0,4.91,2.48,7.83,16.91亿,16.08亿,349.30亿,19.64
202,603888,新华网,30.18,5.63,1.61,0,3.59,1.53,6.75,5.52亿,5.19亿,156.64亿,69.75
203,688025,杰普特,73.94,5.63,3.94,0.22,1.21,1.48,5.74,8393.00万,9499.09万,70.24亿,71.62
204,688004,博汇科技,31.01,5.62,1.65,0.1,2.09,1.46,5.86,3610.33万,5680.00万,17.61亿,亏损
205,300058,蓝色光标,7.71,5.62,0.41,0.13,5.54,2.37,6.85,9.69亿,23.04亿,177.65亿,33.65
206,301112,信邦智能,30.53,5.6,1.62,0.03,6.11,2.36,6.78,6610.35万,3625.69万,11.07亿,47.51
207,300634,彩讯股份,20.57,5.6,1.09,0.05,4.49,1.56,6.21,3.90亿,4.31亿,88.72亿,18.37
208,2605,姚记科技,26.83,5.59,1.42,0.08,4.81,2.23,7.48,4.20亿,3.30亿,88.41亿,13.56
209,301315,威士顿,65.46,5.58,3.46,0.08,20.73,1.73,5.48,2.79亿,2086.39万,13.66亿,173.07
210,300781,因赛集团,20.43,5.58,1.08,0.05,4.13,1.72,6.46,6734.26万,8110.42万,16.57亿,50.85
211,301512,智信精密,57.91,5.58,3.06,-0.05,11.18,1.55,5.98,8503.84万,1333.34万,7.72亿,亏损
212,430418,苏轴股份,17.23,5.58,0.91,0,1.79,1.29,9.19,1561.02万,5114.25万,8.81亿,15.09
213,688378,奥来德,38.16,5.56,2.01,-0.03,1.99,1.11,7.63,7041.44万,9480.33万,36.18亿,29.1
214,2878,元隆雅图,16.71,5.56,0.88,0.06,4.66,0.94,8.53,1.49亿,1.95亿,32.62亿,218.96
215,688686,奥普特,115.5,5.56,6.08,0.46,1.56,1.31,6.71,6032.75万,3432.35万,39.64亿,40.65
216,603859,能科科技,39.55,5.55,2.08,0.28,1.48,1.19,6.8,9532.88万,1.67亿,65.88亿,32.12
217,301185,鸥玛软件,24.59,5.54,1.29,0.04,4.57,1.43,7,9466.46万,8610.95万,21.17亿,42.16
218,300812,易天股份,22.5,5.54,1.18,0.04,9.23,1.94,6,1.84亿,8984.25万,20.21亿,73.83
219,688213,思特威-W,52,5.52,2.72,0,2.38,1.06,8.89,2.50亿,2.06亿,106.92亿,亏损
220,600630,龙头股份,7.08,5.51,0.37,-0.14,25.34,1.77,9.84,7.66亿,4.25亿,30.08亿,140.57
221,300382,斯莱克,10.57,5.49,0.55,-0.28,1.32,1.81,6.19,8564.40万,6.28亿,66.41亿,51.86
222,603081,大丰实业,13.84,5.49,0.72,0,1.08,1.38,5.87,5936.57万,4.04亿,55.91亿,23.27
223,688183,生益电子,11.17,5.48,0.58,0,1.37,2.29,6.8,4654.36万,3.08亿,34.44亿,485.38
224,601208,东材科技,11.4,5.46,0.59,0,2.01,2.08,6.11,2.03亿,8.97亿,102.23亿,23.75
225,301318,维海德,30.92,5.46,1.6,0,4.24,1.91,6.79,3792.41万,2948.46万,9.12亿,34.81
226,601456,国联证券,11.03,5.45,0.57,0.09,3.57,2.15,6.5,9.27亿,23.89亿,263.52亿,26.02
227,603679,华体科技,13.77,5.44,0.71,0,4.64,2.72,6.36,1.02亿,1.63亿,22.47亿,48.37
228,688082,盛美上海,106.06,5.43,5.46,2.31,1.34,0.83,6.32,1.03亿,7468.83万,79.21亿,52.58
229,688076,诺泰生物,34.39,5.43,1.77,0,4.08,1.35,6.22,2.02亿,1.46亿,50.34亿,87.59
230,300679,电连技术,35.19,5.42,1.81,0.14,1.44,1.91,6.29,1.78亿,3.56亿,125.27亿,59.43
231,301025,读客文化,10.89,5.42,0.56,0.09,4.87,2.98,6.2,5188.90万,9920.45万,10.80亿,127.91
232,836675,秉扬科技,5.06,5.42,0.26,0,1.55,1.04,6.04,605.54万,7829.45万,3.96亿,11.54
233,603466,风语筑,11.87,5.42,0.61,-0.08,2.62,1.87,7.19,1.82亿,5.95亿,70.60亿,30.9
234,688256,寒武纪-U,130.49,5.4,6.69,-0.15,3.93,1.57,7.67,12.84亿,2.53亿,329.68亿,亏损
235,2712,思美传媒,5.67,5.39,0.29,0.18,2.43,1.84,5.39,7325.22万,5.41亿,30.67亿,153.22
236,300711,广哈通信,14.28,5.39,0.73,0.14,4.34,0.84,6.5,1.51亿,2.48亿,35.40亿,142.25
237,688392,骄成超声,79.04,5.39,4.04,0,3.57,1.21,7.17,7070.43万,2554.60万,20.19亿,72.25
238,688337,普源精电,51.08,5.38,2.61,-0.02,0.99,0.9,6.68,2788.55万,5629.63万,28.76亿,99.74
239,300344,立方数科,5.1,5.37,0.26,0.2,2.29,1.91,6.41,7325.21万,6.39亿,32.60亿,亏损
240,600239,云南城投,2.55,5.37,0.13,0.39,7.27,3.48,9.09,2.98亿,16.06亿,40.95亿,15.73
241,719,中原传媒,10.99,5.37,0.56,0.09,5.25,1.97,6.62,3.79亿,6.67亿,73.32亿,11.92
242,300563,神宇股份,14.94,5.36,0.76,0,9.09,1.03,6.07,1.63亿,1.23亿,18.35亿,64.02
243,300731,科创新源,21.04,5.36,1.07,0,7.42,0.72,6.21,1.84亿,1.20亿,25.28亿,113.83
244,300250,初灵信息,17.51,5.36,0.89,-0.23,14.54,1.36,8.79,4.08亿,1.64亿,28.64亿,143.52
245,2300,太阳电缆,8.08,5.35,0.41,0.12,2.36,3.41,6.39,1.36亿,7.22亿,58.36亿,29.84
246,300946,恒而达,34,5.3,1.71,0.15,5.06,1.33,5.85,5789.79万,3414.60万,11.61亿,39.66
247,688097,博众精工,25.08,5.29,1.26,-0.04,1.67,1.3,5.67,3821.20万,9290.70万,23.30亿,61.99
248,977,浪潮信息,37.91,5.28,1.9,0.11,9.5,2,6.72,52.14亿,14.70亿,557.23亿,85.78
249,301218,华是科技,41.85,5.26,2.09,-0.02,20.23,1.99,7.5,4.68亿,5604.05万,23.45亿,973.65
250,300115,长盈精密,10.03,5.25,0.5,-0.1,1.2,1.91,5.46,1.42亿,11.99亿,120.25亿,亏损
251,301314,科瑞思,46.15,5.25,2.3,0,7.77,1.05,6.07,4868.25万,1381.25万,6.37亿,108.1
252,2841,视源股份,50.85,5.24,2.53,0.08,0.51,1.05,5.53,1.23亿,4.83亿,245.36亿,29.6
253,688372,伟测科技,116.4,5.22,5.78,0,8.84,2.1,5.87,2.46亿,2437.54万,28.37亿,93.25
254,603110,东方材料,26.18,5.22,1.3,0.27,2.24,2.75,6.75,1.16亿,2.01亿,52.68亿,323.77
255,605589,圣泉集团,22,5.21,1.09,0.05,2.43,1.92,5.88,3.23亿,6.15亿,135.35亿,27.51
256,688255,凯尔达,26.47,5.21,1.31,0.04,1,1.3,5.68,1795.12万,6891.30万,18.24亿,127.37
257,300978,东箭科技,13.36,5.2,0.66,-0.52,7.43,1.2,6.61,1.28亿,1.32亿,17.62亿,34.06
258,603920,世运电路,17.01,5.2,0.84,0,2.13,1.56,5.88,1.90亿,5.32亿,90.52亿,23.1
259,2845,同兴达,16.01,5.19,0.79,0,9.89,3.32,7.62,3.52亿,2.24亿,35.80亿,254.64
260,3021,兆威机电,70.83,5.18,3.49,-0.01,3.37,1.71,6.43,1.42亿,6027.20万,42.69亿,83.3
261,603758,秦安股份,10.16,5.18,0.5,0.1,2.75,4.47,7.35,1.22亿,4.39亿,44.58亿,17.39
262,300503,昊志机电,16.47,5.17,0.81,0,14.12,0.91,7.34,4.79亿,2.11亿,34.70亿,亏损
263,603178,圣龙股份,12.61,5.17,0.62,0,13.65,2.76,8.84,4.03亿,2.36亿,29.81亿,54.71
264,301236,软通动力,27.88,5.17,1.37,0,11.71,1.43,7.32,21.50亿,6.80亿,189.67亿,65.57
265,688053,思科瑞,52.5,5.17,2.58,0.02,1.25,1.65,5.61,2544.66万,3964.61万,20.81亿,67.41
266,2903,宇环数控,19.78,5.16,0.97,-0.1,5.43,0.88,4.89,1.05亿,9937.12万,19.66亿,61.94
267,688661,和林微纳,50,5.15,2.45,0.2,4.04,1.4,6.65,7047.63万,3573.32万,17.87亿,亏损
268,300940,南极光,16.54,5.15,0.81,0,2.19,0.94,5.98,2672.90万,7577.54万,12.53亿,亏损
269,2771,真视通,14.33,5.14,0.7,0.14,9.41,1.41,7.7,2.24亿,1.71亿,24.48亿,亏损
270,605333,沪光股份,16.18,5.13,0.79,-0.74,3.05,1.06,9.36,2.08亿,4.37亿,70.67亿,亏损
271,603019,中科曙光,39.13,5.13,1.91,0.03,4.5,2.42,5.72,25.28亿,14.55亿,569.16亿,52.57
272,300612,宣亚国际,18.65,5.13,0.91,0.05,3.2,1.55,5.75,9343.47万,1.59亿,29.66亿,313.7
273,300846,首都在线,12.92,5.13,0.63,0,5.8,1.81,6.67,2.63亿,3.56亿,46.05亿,亏损
274,688560,明冠新材,19.93,5.12,0.97,0.05,3.19,1.68,5.85,7931.49万,1.28亿,25.42亿,37.92
275,2089,*ST新海,1.44,5.11,0.07,0,13.76,2.21,8.03,2.32亿,11.89亿,17.12亿,108.59
